epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,8475.37,0.97139,1.7192,0.81395,1.39234,0.76389,0.68281,0.75868,0.46142,0.76377,0.68594,0.75222,0.44522,1.44592,2.61848,1.0142,2.05207,0.0088219,0.0088219,0.0088219
121,8545.55,0.95593,1.70884,0.81012,1.39535,0.79011,0.68437,0.76195,0.4638,0.79262,0.68906,0.7623,0.44822,1.38689,2.55785,1.00645,1.99773,0.008812,0.008812,0.008812
122,8615.77,0.96111,1.71597,0.82158,1.39917,0.75006,0.70781,0.76407,0.46654,0.7504,0.70781,0.75823,0.44799,1.40801,2.58522,1.00878,1.99882,0.0088021,0.0088021,0.0088021
123,8686.07,0.96847,1.70809,0.81496,1.40126,0.73199,0.72813,0.76274,0.46399,0.72573,0.72031,0.7508,0.44328,1.41749,2.52907,1.03994,2.02283,0.0087922,0.0087922,0.0087922
124,8756.42,0.97077,1.72981,0.81966,1.40948,0.75529,0.71094,0.76334,0.46555,0.7558,0.71094,0.76244,0.44985,1.39977,2.55478,1.00983,2.01982,0.0087823,0.0087823,0.0087823
125,8826.65,0.95866,1.6968,0.79455,1.38969,0.76503,0.69844,0.76121,0.46536,0.77192,0.70331,0.76324,0.44896,1.4476,2.57143,1.01446,2.03932,0.0087724,0.0087724,0.0087724
126,8896.74,0.95419,1.72511,0.79799,1.38128,0.76978,0.7375,0.76978,0.46104,0.76931,0.7375,0.76515,0.44597,1.44652,2.55618,0.98296,2.05954,0.0087625,0.0087625,0.0087625
127,8966.91,0.94659,1.71976,0.81101,1.37681,0.7695,0.70942,0.76966,0.45904,0.76711,0.70312,0.76759,0.44225,1.451,2.62533,0.99665,2.04003,0.0087526,0.0087526,0.0087526
128,9037.11,0.95416,1.68468,0.79738,1.38075,0.75751,0.7224,0.77136,0.4666,0.77511,0.70156,0.76536,0.44546,1.44772,2.58834,0.99211,2.02668,0.0087427,0.0087427,0.0087427
129,9107.31,0.94489,1.70367,0.80344,1.38432,0.75647,0.72969,0.77298,0.46892,0.7583,0.73281,0.76655,0.45128,1.42664,2.63128,0.97038,2.05297,0.0087328,0.0087328,0.0087328
130,9177.51,0.9438,1.71439,0.79943,1.37529,0.79287,0.67588,0.76446,0.46524,0.79733,0.67618,0.75704,0.44463,1.42506,2.58376,0.99557,2.00478,0.0087229,0.0087229,0.0087229
131,9247.74,0.93781,1.70077,0.77861,1.36858,0.76021,0.71094,0.77936,0.47359,0.7646,0.70469,0.76675,0.45203,1.40218,2.57183,0.95119,1.98275,0.008713,0.008713,0.008713
132,9318.05,0.94951,1.7352,0.81503,1.37581,0.76348,0.69101,0.76607,0.46884,0.77193,0.68751,0.75643,0.45148,1.43985,2.58271,1.00182,2.06319,0.0087031,0.0087031,0.0087031
133,9388.52,0.96286,1.72843,0.80605,1.40267,0.74054,0.72691,0.75109,0.45014,0.73576,0.72222,0.74407,0.43336,1.44923,2.53551,0.9991,2.06633,0.0086932,0.0086932,0.0086932
134,9458.89,0.93348,1.67371,0.79794,1.37368,0.74534,0.69219,0.75558,0.45657,0.75837,0.70625,0.75768,0.44164,1.43587,2.5971,0.99423,2.05881,0.0086833,0.0086833,0.0086833
135,9529.07,0.93784,1.68565,0.79309,1.38049,0.74745,0.71679,0.74796,0.44605,0.74371,0.71639,0.74035,0.42932,1.4272,2.61408,1.00815,1.99453,0.0086734,0.0086734,0.0086734
136,9599.4,0.92251,1.68187,0.78291,1.35973,0.7623,0.72657,0.76263,0.46808,0.74745,0.73906,0.75532,0.4462,1.42614,2.61134,1.00593,2.02281,0.0086635,0.0086635,0.0086635
137,9669.75,0.93008,1.67992,0.77612,1.36107,0.76426,0.69903,0.75609,0.46159,0.73587,0.71827,0.7442,0.43933,1.41373,2.66405,0.99882,2.01155,0.0086536,0.0086536,0.0086536
138,9739.81,0.91651,1.66732,0.75434,1.3557,0.7389,0.73438,0.76106,0.45913,0.73708,0.73153,0.75051,0.44386,1.4159,2.61105,1.01827,2.01027,0.0086437,0.0086437,0.0086437
139,9810.1,0.92521,1.68466,0.76507,1.34826,0.77066,0.70312,0.75514,0.459,0.77066,0.70312,0.74749,0.44118,1.44976,2.58491,1.02786,2.0473,0.0086338,0.0086338,0.0086338
140,9880.31,0.92616,1.68626,0.77552,1.3582,0.74998,0.7,0.74735,0.45093,0.74719,0.70656,0.74357,0.43013,1.4255,2.5765,1.03934,2.04171,0.0086239,0.0086239,0.0086239
141,9950.46,0.91575,1.68602,0.77166,1.35995,0.75718,0.71875,0.7645,0.46788,0.76094,0.72188,0.75824,0.44876,1.43729,2.61151,0.99705,2.05561,0.008614,0.008614,0.008614
142,10020.6,0.91578,1.65418,0.75111,1.35516,0.76682,0.7,0.75634,0.45399,0.76799,0.70156,0.75413,0.43651,1.44108,2.65014,0.99255,2.07704,0.0086041,0.0086041,0.0086041
143,10090.9,0.89919,1.65072,0.74185,1.33412,0.76584,0.70312,0.75633,0.45909,0.76597,0.70312,0.75191,0.44387,1.43497,2.63802,1.05096,2.09913,0.0085942,0.0085942,0.0085942
144,10161.2,0.90185,1.63746,0.75717,1.33514,0.75989,0.70625,0.76177,0.45577,0.76722,0.70625,0.75543,0.44195,1.4193,2.622,1.00855,2.04072,0.0085843,0.0085843,0.0085843
145,10231.4,0.89934,1.63006,0.75859,1.3447,0.71548,0.7375,0.75512,0.44541,0.7246,0.72656,0.74111,0.43175,1.44551,2.64719,1.04779,2.08646,0.0085744,0.0085744,0.0085744
146,10301.7,0.90075,1.60449,0.73463,1.33241,0.74774,0.71326,0.74065,0.45284,0.74596,0.71116,0.73634,0.43715,1.44134,2.6788,1.03479,2.06424,0.0085645,0.0085645,0.0085645
147,10372,0.89761,1.65082,0.76412,1.33977,0.72039,0.71719,0.75199,0.45342,0.74377,0.68437,0.74385,0.43807,1.45403,2.64574,1.04273,2.05715,0.0085546,0.0085546,0.0085546
148,10442,0.91626,1.66887,0.76796,1.35719,0.80574,0.67402,0.77074,0.4679,0.78481,0.68125,0.76568,0.44914,1.43576,2.58623,1.00879,2.04064,0.0085447,0.0085447,0.0085447
149,10512.2,0.91061,1.62402,0.74862,1.35138,0.76694,0.70781,0.75209,0.44939,0.76472,0.70156,0.74351,0.42981,1.46497,2.70486,1.04019,2.07879,0.0085348,0.0085348,0.0085348
150,10582.3,0.88684,1.65175,0.74891,1.32781,0.75065,0.70312,0.74631,0.44573,0.74955,0.70469,0.74012,0.42882,1.47244,2.69729,1.06984,2.13573,0.0085249,0.0085249,0.0085249
151,10652.4,0.88204,1.63891,0.74011,1.32897,0.70666,0.72648,0.75199,0.45128,0.70551,0.7262,0.74369,0.43104,1.44673,2.7131,1.04433,2.08952,0.008515,0.008515,0.008515
152,10722.8,0.89988,1.64166,0.7341,1.34246,0.78872,0.67188,0.74261,0.45255,0.79596,0.67344,0.73783,0.43263,1.43466,2.66441,1.06602,2.07805,0.0085051,0.0085051,0.0085051
153,10793.1,0.88512,1.614,0.73207,1.32979,0.74256,0.73013,0.74871,0.45336,0.75412,0.725,0.74859,0.43639,1.44919,2.62686,1.03823,2.06985,0.0084952,0.0084952,0.0084952
154,10863.5,0.87029,1.60283,0.72463,1.32153,0.75717,0.73082,0.75343,0.45511,0.74824,0.73906,0.74598,0.4416,1.44226,2.66364,1.0251,2.09659,0.0084853,0.0084853,0.0084853
155,10933.7,0.89151,1.62328,0.74458,1.33857,0.77228,0.68887,0.7552,0.45288,0.75824,0.69688,0.74392,0.4364,1.43699,2.66453,1.05009,2.10554,0.0084754,0.0084754,0.0084754
156,11004,0.88532,1.59474,0.72353,1.33518,0.77399,0.67421,0.74466,0.44555,0.7704,0.67109,0.73425,0.42661,1.43471,2.71452,1.03741,2.09665,0.0084655,0.0084655,0.0084655
157,11074.2,0.87605,1.63021,0.72973,1.33001,0.75685,0.71719,0.76471,0.45797,0.76914,0.69755,0.75801,0.4396,1.4609,2.64634,1.03047,2.15359,0.0084556,0.0084556,0.0084556
158,11144.4,0.87498,1.63419,0.73891,1.31912,0.7865,0.70221,0.76487,0.45357,0.77954,0.69615,0.75014,0.43658,1.46881,2.72139,1.00069,2.20092,0.0084457,0.0084457,0.0084457
159,11214.5,0.87763,1.60507,0.71752,1.33981,0.72399,0.72134,0.75154,0.44735,0.71783,0.71549,0.73826,0.42608,1.45432,2.7449,1.04272,2.13196,0.0084358,0.0084358,0.0084358
160,11284.7,0.87625,1.58653,0.73835,1.32015,0.72606,0.725,0.75889,0.45582,0.7407,0.69531,0.74446,0.43533,1.43981,2.7261,1.05155,2.10287,0.0084259,0.0084259,0.0084259
161,11355,0.86731,1.58996,0.70001,1.31529,0.7159,0.72344,0.75741,0.45442,0.72688,0.71875,0.75055,0.43759,1.45039,2.66047,1.02196,2.12723,0.008416,0.008416,0.008416
162,11425.2,0.84602,1.56468,0.69915,1.29278,0.74628,0.71094,0.75696,0.4625,0.71426,0.74219,0.75078,0.44462,1.44375,2.6851,1.07296,2.11136,0.0084061,0.0084061,0.0084061
163,11495.4,0.85841,1.58934,0.71413,1.31055,0.75884,0.71291,0.75938,0.45473,0.76026,0.70856,0.75234,0.4386,1.47248,2.72713,1.04908,2.16127,0.0083962,0.0083962,0.0083962
164,11565.7,0.84739,1.56198,0.69202,1.29456,0.77193,0.70866,0.75801,0.4523,0.77164,0.7,0.74889,0.43043,1.48305,2.749,1.01117,2.15163,0.0083863,0.0083863,0.0083863
165,11635.8,0.84632,1.56588,0.71689,1.29706,0.79518,0.68281,0.76216,0.45834,0.78972,0.67812,0.74879,0.44058,1.47925,2.74829,1.03697,2.16189,0.0083764,0.0083764,0.0083764
166,11706,0.86328,1.61403,0.70625,1.30277,0.7283,0.74971,0.74898,0.44888,0.72582,0.73906,0.73953,0.42587,1.47679,2.7089,1.03889,2.14656,0.0083665,0.0083665,0.0083665
167,11776.1,0.85567,1.57331,0.69742,1.29454,0.76816,0.70408,0.74757,0.44273,0.756,0.69229,0.7345,0.41999,1.46036,2.75245,1.05049,2.13604,0.0083566,0.0083566,0.0083566
